processed?,username,sponsor,subdomain,country,first_name,last_name,email,phone,DOB,gender,package_id,addon_id,password,product_sku,billing_country,billing_state,billing_postal_code,shipping_eq_billing,shipping_country,shipping_state,shipping_postal_code,shipping_group
Y,jamepark,therdunc,jamepark,US,James,Parker,jamepark@gmail.com,3355050444,2009-10-15,m,,,,ultra-thin-stainless-steel-mesh-band-waterproof-quartz-womens-wrist-watch---black--white,231,7591,32256,Y,,,,
Y,sheimcca,therdunc,sheimcca,IT,Sheila,Mccarthy,sheimcca@gmail.com,9373784427,2009-10-14,na,,,,double-walled-water-bottle,107,5278,94100,Y,,,,
Y,craimelt,therdunc,craimelt,IT,Craig,Melton,craimelt@gmail.com,2484116698,2009-10-08,na,,,,ultra-thin-stainless-steel-mesh-band-waterproof-quartz-womens-wrist-watch---rose-gold--white,107,5278,94100,Y,,,,
Y,paigjohn,therdunc,paigjohn,HU,Paige,Johnson,paigjohn@gmail.com,2011453709,2009-10-14,f,,,,brooks-men-levitate-2-running-shoes-07uk,99,5112,1012,Y,,,,
Y,cathpeti,therdunc,cathpeti,DK,Cathey,Petite,cathpeti@gmail.com,8810073909,2009-10-10,f,,,,earrings-stud-crystal-pearl-earring-set,58,4788,7100,Y,,,,
Y,amanduar,therdunc,amanduar,GB,Amanda,Duarte,amanduar@gmail.com,2774572070,2009-10-16,m,,,,manual-lemon-squeezer,230,7414,BT11 8AE,Y,,,,
Y,kriskell,therdunc,kriskell,PL,Kristen,Kelley,kriskell@gmail.com,9941468911,2009-10-04,m,,,,ultra-thin-stainless-steel-mesh-band-waterproof-quartz-womens-wrist-watch---black--black,175,6314,45-004,Y,,,,
Y,sararobe,therdunc,sararobe,AT,Sara,Roberson,sararobe@gmail.com,3330202751,2009-09-04,m,,,,summer-tops-off-shoulder-floral-printed-long-sleeve-chiffon-loose-shirt---green-l,14,4268,5020,Y,,,,
Y,sharprat,therdunc,sharprat,ES,Sharon,Pratt,sharprat@gmail.com,9075450008,2009-09-04,m,,,,stone-cookware-set-nonstick-stone-pots-and-pans-set---10-piece-,205,6881,28015,Y,,,,
Y,amysaun,therdunc,amysaun,MX,Amy,Saunders,amysaun@gmail.com,6723158512,2009-09-03,m,,,,ultra-thin-stainless-steel-mesh-band-waterproof-quartz-womens-wrist-watch---gold--white,142,5885,21700,Y,,,,
Y,angeoliv,colimill,angeoliv,RU,Angela,Oliver,angeoliv@gmail.com,4550007297,2009-09-03,na,,,,summer-tops-off-shoulder-floral-printed-long-sleeve-chiffon-loose-shirt---black-s,181,6448,901967,Y,,,,
