processed?,username,subdomain,first_name,last_name,password,country_code,country_id,payout_method,wallet_address,ifsc_code,iban,swift_code,paypal_email,payquicker_id,hyperWallet_id,gpg_id
,stepmack,stepmack,Stephanie,Mackenzie,,US,231,bank,,IFSC000001,BR1500000000000010932840814P2,CHASUS33XXX,,,,
,andrbond,andrbond,Andrea,Bond,,BR,30,bank,,IFSC000002,FR7630006000011234567890189,CHASUS33XXY,,,,
,connmcgr,connmcgr,Connor,McGrath,,FR,75,bank,,IFSC000003,AL35202111090000000001234567,CHASUS33XXX,,,,
,feliharr,feliharr,Felicity,Harris,,HU,99,bank,,IFSC000004,AD1400080001001234567890,CHASUS33XXX,,,,
,olivmacd,olivmacd,Olivia,MacDonald,,NZ,157,bank,,IFSC000005,AT483200000012345864,CHASUS33XXX,,,,
,coliross,coliross,Colin,Ross,,ES,205,bank,,IFSC000006,AZ77VTBA00000000001234567890,CHASUS33XXX,,,,
,caromacl,caromacl,Carol,MacLeod,,PL,175,bank,,IFSC000007,BR1500000000000010932840814P2,CHASUS33XXX,,,,
,colismit,colismit,Colin,Smith,,AU,13,bank,,IFSC000008,BG18RZBB91550123456789,CHASUS33XXX,,,,
,nathsmit,nathsmit,Nathan,Smith,,CA,38,bank,,IFSC000009,EG800002000156789012345180002,CHASUS33XXX,,,,
,branaver,branaver,Brandon,Avery,,DE,82,bank,,IFSC000010,SV43ACAT00000000000000123123,CHASUS33XXX,,,,
,marimitc,marimitc,Maria,Mitchell,,IT,107,bank,,IFSC000011,BR1500000000000010932840814P2,CHASUS33XXX,,,,
,alisquin,alisquin,Alison,Quinn,,NO,164,bank,,IFSC000012,FR7630006000011234567890189,CHASUS33XXX,,,,
,jamemcle,jamemcle,James,McLean,,CH,212,bank,,IFSC000013,AL35202111090000000001234567,CHASUS33XXX,,,,
,heatrobe,heatrobe,Heather,Robertson,,RO,180,bank,,IFSC000014,AD1400080001001234567890,CHASUS33XXX,,,,
,johnferg,johnferg,John,Ferguson,,AT,14,bank,,IFSC000015,AT483200000012345864,CHASUS33XXX,,,,
,ruthglov,ruthglov,Ruth,Glover,,DK,58,bank,,IFSC000016,AZ77VTBA00000000001234567890,CHASUS33XXX,,,,
,vaneturn,vaneturn,Vanessa,Turner,,GR,85,bank,,IFSC000017,BR1500000000000010932840814P2,CHASUS33XXX,,,,
,soniedmu,soniedmu,Sonia,Edmunds,,MX,142,bank,,IFSC000018,BG18RZBB91550123456789,CHASUS33XXX,,,,
,seanlyma,seanlyma,Sean,Lyman,,RU,181,bank,,IFSC000019,EG800002000156789012345180002,CHASUS33XXX,,,,
,janeshor,janeshor,Jane,Short,,GB,230,bank,,IFSC000020,SV43ACAT00000000000000123123,CHASUS33XXX,,,,
,sonispri,sonispri,Sonia,Springer,,US,231,bank,,IFSC000021,BR1500000000000010932840814P2,CHASUS33XXX,,,,
,kevilewi,kevilewi,Kevin,Lewis,,BR,30,bank,,IFSC000022,FR7630006000011234567890189,CHASUS33XXX,,,,
,jacomack,jacomack,Jacob,Mackay,,FR,75,bank,,IFSC000023,AL35202111090000000001234567,CHASUS33XXX,,,,
,willalla,willalla,William,Allan,,HU,99,bank,,IFSC000024,AD1400080001001234567890,CHASUS33XXX,,,,
,pierross,pierross,Piers,Ross,,NZ,157,bank,,IFSC000025,AT483200000012345864,CHASUS33XXX,,,,
,joshhugh,joshhugh,Joshua,Hughes,,ES,205,bank,,IFSC000026,AZ77VTBA00000000001234567890,CHASUS33XXX,,,,
,benjhowa,benjhowa,Benjamin,Howard,,PL,175,bank,,IFSC000027,BR1500000000000010932840814P2,CHASUS33XXX,,,,
,colidunc,colidunc,Colin,Duncan,,AU,13,bank,,IFSC000028,BG18RZBB91550123456789,CHASUS33XXX,,,,
,joanhemm,joanhemm,Joanne,Hemmings,,CA,38,bank,,IFSC000029,EG800002000156789012345180002,CHASUS33XXX,,,,
